Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_predicted,Reboiler_Duty_predicted,T_top_predicted,T_mid_predicted,T_bottom_predicted,Prediction_Error,Threshold,Anomaly,Health_Index_%
1.36,1.9,72.983,-74.3332,351.685,364.335,373.243,72.19500526113515,-73.54372499626017,351.6677379576717,364.20835472991826,373.24300000000136,0.34427541100321546,1.6431845723429583,0,98.60432470921737
1.36,1.94444,74.1005,-75.4512,351.685,364.483,373.243,73.24052335346323,-74.58984040538716,351.66653674999986,364.34908846669055,373.24300000000136,0.37474220489211235,1.6431845723429583,0,98.48081385116278
1.36,1.98889,75.2181,-76.5692,351.685,364.625,373.243,75.09771265449734,-76.44830690132272,351.66566655555533,364.5983317592591,373.24300000000136,0.05745642587337159,1.6431845723429583,0,99.76707452427557
1.36,2.03333,76.3355,-77.6871,351.684,364.762,373.243,75.62200199894178,-76.97276945238089,351.6610203306877,364.6633299338625,373.24300000000136,0.30989565682571085,1.6431845723429583,0,98.7436985125015
1.36,2.07778,77.4529,-78.805,351.684,364.895,373.243,76.03298795489415,-77.38379823769841,351.6547314259262,364.71110407672,373.24300000000136,0.6108556609525266,1.6431845723429583,0,97.5236217139592
1.36,2.12222,78.5703,-79.9228,351.683,365.024,373.243,76.9382690044973,-78.2894734281745,351.65536670105854,364.82124062962987,373.24300000000136,0.6991500473282286,1.6431845723429583,0,97.16568068930023
1.36,2.16667,79.6871,-81.0403,351.683,365.148,373.243,77.25248039338624,-78.60364296706342,351.64728319312223,364.60797508201057,373.2431003333347,1.0894237395504576,1.6431845723429583,0,95.58353066792684
1.36,2.21111,80.8042,-82.1581,351.682,365.269,373.243,77.147876648545,-78.49881048968246,351.6372300939156,363.78997975661395,373.2434232500011,1.7679652522488283,1.6431845723429583,1,92.83275732549217
1.36,2.25556,81.9214,-83.2757,351.682,365.386,373.243,77.147876648545,-78.49881048968246,351.6372300939156,363.78997975661395,373.2434232500011,2.2383252522488335,1.6431845723429583,1,90.92594141941402
1.36,2.3,83.0384,-84.3934,351.681,365.499,373.243,77.147876648545,-78.49881048968246,351.6372300939156,363.78997975661395,373.2434232500011,2.7076652522488245,1.6431845723429583,1,89.0232605423014
1.40889,1.9,83.0384,-84.3934,351.681,365.499,373.243,75.28616375595273,-76.63516316097918,351.6050079748666,364.55756359656147,373.24301416666805,3.3055831356616125,1.6431845723429583,1,86.59933135907988
1.40889,1.94444,83.0384,-84.3934,351.681,365.499,373.243,75.72269123214322,-77.07196876177282,351.6045566891523,364.5904247235456,373.24302500000135,3.1244367186774893,1.6431845723429583,1,87.33368987008079
1.40889,1.98889,83.0384,-84.3934,351.681,365.499,373.243,76.31568835648186,-77.66540292777812,351.604044749999,364.6126206944452,373.24304850000135,2.8828183542594417,1.6431845723429583,1,88.31319863033445
1.40889,2.03333,70.1192,-71.4609,351.562,362.341,373.243,76.44808515119082,-77.79784570555589,351.6023392499988,364.59680965476275,373.2430618333347,2.9924083189685917,1.6431845723429583,1,87.86892639661146
1.40889,2.07778,71.1455,-72.4877,351.562,363.29,373.243,76.39028206230192,-77.73998662222256,351.60064113888774,364.4534822103183,373.2431168333346,2.3398617734130283,1.6431845723429583,1,90.51431744287748
1.40889,2.12222,72.1719,-73.5146,351.561,363.811,373.243,76.3259794476193,-77.67565509841295,351.5999196309514,364.1330451865087,373.24324350000126,1.735268572698726,1.6431845723429583,1,92.96530802844751
1.40889,2.16667,73.1923,-74.5383,351.56,363.83,373.243,76.18587148333351,-77.53545835238113,351.59719824603116,363.46386552777847,373.2435074523823,1.2789140012699192,1.6431845723429583,0,94.81534662784354
1.40889,2.21111,74.2184,-75.5649,351.56,364.185,373.243,75.78772094325412,-77.13698867738107,351.5882073015866,362.4149146230166,373.2439120357152,0.9881228669840709,1.6431845723429583,0,95.99419933683826
1.40889,2.25556,75.2445,-76.5915,351.559,364.432,373.243,75.78772094325412,-77.13698867738107,351.5882073015866,362.4149146230166,373.2439120357152,0.6271828669840687,1.6431845723429583,0,97.45743203762032
1.40889,2.3,76.2681,-77.6168,351.559,364.622,373.243,75.78772094325412,-77.13698867738107,351.5882073015866,362.4149146230166,373.2439120357152,0.6394790187299947,1.6431845723429583,0,97.40758405366616
1.45778,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
